Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Mugeri - 1012457,Rutsiro,Mugeri,1012457,Complete,In Service,006f100000cPXEEAA4,2019,-2.02408333,29.41472222,2734,5576
Rwanda - Gahororo - 1012501,Huye,Gahororo,1012501,Complete,In Service,006f100000cPuuaAAC,2019,-2.621482,29.649033,7000,4817
Rwanda - Serugeme - 1012480,Ruhango,Serugeme,1012480,Complete,In Service,006f100000cPnOGAA0,2019,-2.228055556,29.57333333,4111,3447
Rwanda - Gakoro~muhe - 1013464,Musanze,Gakoro~muhe,1013464,Identified,Technical,006f100000d7Q4xAAE,2019,-1.530129,29.631873,2166,16066
Rwanda - Nyacyonga - 1013389,Nyabihu,Nyacyonga,1013389,Identified,Technical,006f100000d7Gt1AAE,2018,-1.57778,29.47565,4139,7145
Rwanda - Gakoma - 1013550,Karongi,Gakoma,1013550,Identified,Technical,006f100000d7azZAAQ,2019,-2.108,29.44281,1706,5240
Rwanda - Karambo - 1013552,Karongi,Karambo,1013552,Identified,Technical,006f100000d7azjAAA,2019,-2.11217,29.41652,2079,5510
Rwanda - Kwarushishi - 1013549,Karongi,Kwarushishi,1013549,Identified,Technical,006f100000d7azUAAQ,2019,-2.12657,29.45745,1642,4200
Rwanda - Runono - 1013612,Nyaruguru,Runono,1013612,Identified,Technical,006f100000d7hDyAAI,2019,-2.56125667,29.56492833,4192,3484
Rwanda - Kigarama - 1013290,Nyamagabe,Kigarama,1013290,Identified,Technical,006f100000d78P4AAI,2018,-2.271943,29.514311,2873,3050
Rwanda - Kwa Ndimurwango - 1013618,Burera,Kwa Ndimurwango,1013618,Identified,Technical,006f100000d7hMWAAY,2019,-1.591966,29.876044,2946,7190
Rwanda - Kagogo - 1013662,Rutsiro,Kagogo,1013662,Complete,In Service,006f100000d7iZwAAI,2020,-1.90122,29.37049,1468,10913
Rwanda - Nyarutovu - 1013627,Gakenke,Nyarutovu,1013627,Identified,Technical,006f100000d7iQLAAY,2019,-1.68267,29.67093,1592,9360
Rwanda - Ku Gatare - 1013261,Muhanga,Ku Gatare,1013261,Identified,Technical,006f100000d762OAAQ,2018,-1.99297066,29.68900376,2350,6092
Rwanda - Busasamana - 1014363,Ngoma,Busasamana,1014363,Identified,Technical,006f100000eeuwAAAQ,2019,-2.18739,30.41009,11440,3647
Rwanda - Murengere - 1013386,Nyabihu,Murengere,1013386,Identified,Technical,006f100000d7GsmAAE,2018,-1.62778,29.59093,3334,8819
Rwanda - Kiyovu - 1014538,Rwamagana,Kiyovu,1014538,Identified,Technical,006f100000ef87pAAA,2019,-1.8953,30.30129,1825,4216
Rwanda - Kanserege - 1013215,Nyamagabe,Kanserege,1013215,Complete,In Service,006f100000d75uhAAA,2022,-2.5265,29.510023,3292,5646
