Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Kirwa - 1012699,Ruhango,Kirwa,1012699,Identified,Technical,006f100000dhyeVAAQ,2018,-2.22162,29.61977,827,4586
Rwanda - Kajeje - 1022230,Muhanga,Kajeje,1022230,Identified,Requested,0063Z00000hvy75QAA,2022,-1.971735,29.792433,300,
Rwanda - Nyaruhombo - 1009280,Huye,Nyaruhombo,1009280,Complete,In Service,006f100000aWV5fAAG,2023,-2.41201,29.67439,2373,5115
Rwanda - Birambo - 1037670,Gicumbi,Birambo,1037670,Under Construction,,0063Z00000pof1dQAA,2023,-1.58050327,30.13857133,500,
Rwanda - Ruharazi - 1009311,Nyaruguru,Ruharazi,1009311,Complete,In Service,006f100000asEzNAAU,2019,-2.77676167,29.62627167,,7393
Rwanda - Kamegeri - 1009316,Nyamagabe,Kamegeri,1009316,Cancelled,Technical,006f100000asFDPAA2,2018,-2.52444444,29.55333333,,5048
Rwanda - Bukinga - 1009317,Nyaruguru,Bukinga,1009317,Cancelled,Technical,006f100000asFErAAM,2019,-2.760833,29.488056,,5455
Rwanda - Runyombya - 1009313,Nyaruguru,Runyombya,1009313,Identified,Identified in Needs Assessment,006f100000asF27AAE,2019,-2.77142,29.529766,5579,5513
Rwanda - Gihinga - 1009329,Gakenke,Gihinga,1009329,Identified,Local Investment,006f100000asYQDAA2,2019,-1.829439,29.882134,16300,5567
Rwanda - Mataba - 1022231,Muhanga,Mataba,1022231,Identified,Requested,0063Z00000hvy7AQAQ,2021,-1.976608,29.782109,500,
Rwanda - Nyaruvumu - 1007899,Nyanza,Nyaruvumu,1007899,Identified,Technical,006f100000aA0hfAAC,2019,-2.3381,29.6548,3000,3724
Rwanda - Kucyaruseke - RW127,Nyaruguru,Kucyaruseke,RW127,Complete,In Service,006f100000Zs7KqAAJ,2018,-2.711764,29.557267,3000,4923
Rwanda - Ruvumba - 1007621,Rulindo,Ruvumba,1007621,Identified,Vehicular Bridge Required,006f100000a86HZAAY,2019,-1.748844,29.951975,1000,5411
Rwanda - Ngarama - 1007622,Rulindo,Ngarama,1007622,Identified,Vehicular Bridge Required,006f100000a86HaAAI,2019,-1.692446,29.904097,1000,7740
Rwanda - Gasigwe - 1007360,Gakenke,Gasigwe,1007360,Identified,Technical,006f100000a86DMAAY,2018,-1.627777777,29.84055556,1302,7641
Rwanda - Ubumwe - 1007457,Nyagatare,Ubumwe,1007457,Identified,Technical,006f100000a86EvAAI,2019,-1.42439,30.26354,5487,6016
Rwanda - Nshuri - 1007458,Nyagatare,Nshuri,1007458,Identified,Identified in Needs Assessment,006f100000a86EwAAI,2019,-1.308813,30.314539,7453,2287
Rwanda - Kamate - 1007459,Nyagatare,Kamate,1007459,Identified,Technical,006f100000a86ExAAI,2019,-1.2991944,30.2575833,1000,2267
Rwanda - Mirambi - 1007460,Nyagatare,Mirambi,1007460,Identified,Vehicular Bridge Required,006f100000a86EyAAI,2019,-1.296011,30.247121,1000,2322
Rwanda - Gihanga - 1007364,Gicumbi,Gihanga,1007364,Identified,Technical,006f100000a86DQAAY,2018,-1.47241,29.99602,2045,8434
Rwanda - Rubaya - 1007366,Gicumbi,Rubaya,1007366,Identified,Technical,006f100000a86DSAAY,2018,-1.46707,29.99598,4500,8891
Rwanda - Kiyovu center - 1007368,Gicumbi,Kiyovu center,1007368,Identified,Technical,006f100000a86DUAAY,2018,-1.59132,30.01386,1461,9213
Rwanda - Busabira - 1007370,Gicumbi,Busabira,1007370,Identified,,006f100000a86DWAAY,2018,-1.72859,30.07666,,4953
Rwanda - Karangazi - 1007461,Nyagatare,Karangazi,1007461,Identified,,006f100000a86EzAAI,2014,,,500,
Rwanda - Mujerenge - 1007463,Nyamagabe,Mujerenge,1007463,Complete,In Service,006f100000a86F1AAI,2022,-2.45195667,29.427665,995,4330
Rwanda - Gahira - 1007464,Nyamagabe,Gahira,1007464,Identified,Technical,006f100000a86F2AAI,2018,-2.448025,29.4665,2810,6936
Rwanda - Rwangambibi - 1007465,Nyamagabe,Rwangambibi,1007465,Complete,In Service,006f100000a86F3AAI,2022,-2.343056,29.4325,3475,7078
Rwanda - Rugeti - 1007466,Nyamagabe,Rugeti,1007466,Complete,In Service,006f100000a86F4AAI,2020,-2.47640667,29.4208,4363,5050
Rwanda - Mwishyogwe - 1007467,Nyamagabe,Mwishyogwe,1007467,Identified,Technical,006f100000a86F5AAI,2018,-2.484,29.4196111,1000,4483
Rwanda - Nyarusengesi - 1007468,Nyamagabe,Nyarusengesi,1007468,Identified,Technical,006f100000a86F6AAI,2018,-2.287455,29.434438,1000,4064
Rwanda - Remera - 1007469,Nyamagabe,Remera,1007469,Ready to Confirm,,006f100000a86F7AAI,2023,-2.213863,29.563708,2714,3273
Rwanda - Cyabazungo - 1007471,Nyamagabe,Cyabazungo,1007471,Identified,Identified in Needs Assessment,006f100000a86F9AAI,2019,-2.4243,29.5426533,8150,3940
Rwanda - Sabake - 1007472,Nyamagabe,Sabake,1007472,Identified,Identified in Needs Assessment,006f100000a86FAAAY,2018,-2.47291333,29.42335667,4469,5309
Rwanda - Uwabarashi - 1007473,Nyamagabe,Uwabarashi,1007473,Identified,Identified in Needs Assessment,006f100000a86FBAAY,2018,-2.21156,29.544015,,3785
Rwanda - Cyimbogo - 1007474,Nyamagabe,Cyimbogo,1007474,Identified,Technical,006f100000a86FCAAY,2018,-2.2875833,29.4333889,3000,4066
Rwanda - Kinyempanda - 1007678,Rutsiro,Kinyempanda,1007678,Identified,Technical,006f100000a86IUAAY,2019,-2.02475,29.41743,1806,5330
Rwanda - Kazirankomo - 1007679,Rutsiro,Kazirankomo,1007679,Identified,Technical,006f100000a86IVAAY,2018,-1.954166,29.3577,3000,4173
Rwanda - Ntora - 1007680,Gasabo,Ntora,1007680,Identified,Technical,006f100000a86IWAAY,2019,-1.916403,30.04942,6000,32876
Rwanda - Nkurura - 1007372,Gicumbi,Nkurura,1007372,Identified,Technical,006f100000a86DYAAY,2018,-1.48547,29.99506,1400,8564
Rwanda - Karambi - 1007374,Huye,Karambi,1007374,Complete,In Service,006f100000a86DaAAI,2019,-2.513333,29.612778,12500,7425
Rwanda - Buhoro - 1007376,Huye,Buhoro,1007376,Identified,Technical,006f100000a86DcAAI,2019,-2.62627,30.6261,3000,0
Rwanda - Uwarugondo - 1007377,Huye,Uwarugondo,1007377,Identified,Technical,006f100000a86DdAAI,2019,-2.63101,29.63617,3983,5926
Rwanda - Zaga - 1007378,Huye,Zaga,1007378,Identified,Vehicular Bridge Required,006f100000a86DeAAI,2019,-2.60378,29.66448,,3604
Rwanda - Uwimpundu - 1007379,Huye,Uwimpundu,1007379,Identified,Vehicular Bridge Required,006f100000a86DfAAI,2019,-2.62437,30.64553,1505,0
Rwanda - Bukomeye - Taba - 1007380,Huye,Bukomeye - Taba,1007380,Complete,In Service,006f100000a86DgAAI,2023,-2.66052,29.74644,3581,8345
Rwanda - Rujumbura - 1007381,Huye,Rujumbura,1007381,Identified,Technical,006f100000a86DhAAI,2019,-2.68664,29.75706,4744,8532
Rwanda - Ryagashaza - 1007383,Kamonyi,Ryagashaza,1007383,Identified,,006f100000a86DjAAI,2018,-1.971072,29.838172,4975,5174
Rwanda - Kizimyamuriro - 1007475,Nyamagabe,Kizimyamuriro,1007475,Identified,Technical,006f100000a86FDAAY,2014,-2.4869167,29.4160556,3000,3691
Rwanda - Nyamugari - 1007476,Nyamagabe,Nyamugari,1007476,Identified,,006f100000a86FEAAY,2018,-2.4912778,29.4210278,3000,4038
Rwanda - Mugote - 1007477,Nyamagabe,Mugote,1007477,Complete,In Service,006f100000a86FFAAY,2022,-2.4477333,29.41455333,1720,3471
Rwanda - Kabuga - 1007479,Nyamagabe,Kabuga,1007479,Identified,Technical,006f100000a86FHAAY,2018,-2.45674667,29.43966667,3448,5382
Rwanda - Kabingo - 1007480,Nyamagabe,Kabingo,1007480,Identified,Technical,006f100000a86FIAAY,2018,-2.395728,29.427631,2380,9739
Rwanda - Mutiwingoma - 1007481,Nyamagabe,Mutiwingoma,1007481,Complete,In Service,006f100000a86FJAAY,2021,-2.363733,29.55353,2601,3948
Rwanda - Murwa - 1007482,Nyamagabe,Murwa,1007482,Identified,Technical,006f100000a86FKAAY,2018,-2.39084,29.57068,3057,3959
Rwanda - Rwankango - 1007483,Nyamagabe,Rwankango,1007483,Identified,Vehicular Bridge Required,006f100000a86FLAAY,2018,-2.259663,29.592431,1000,4211
Rwanda - Uwamataba - 1007484,Nyamagabe,Uwamataba,1007484,Identified,Technical,006f100000a86FMAAY,2018,-2.47437333,29.488816,3554,6814
Rwanda - Nyarurambi - 1007485,Nyamagabe,Nyarurambi,1007485,Identified,Technical,006f100000a86FNAAY,2018,-2.4724,29.5,3523,0
Rwanda - Rusekera - 1007486,Nyamagabe,Rusekera,1007486,Identified,Technical,006f100000a86FOAAY,2018,-2.451815,29.43508667,780,4628
Rwanda - Shaki - 1007487,Nyamagabe,Shaki,1007487,Identified,Technical,006f100000a86FPAAY,2018,-2.391707,29.435709,1985,8948
Rwanda - Muzirantwago - 1007488,Nyamagabe,Muzirantwago,1007488,Identified,Technical,006f100000a86FQAAY,2018,-2.428413,29.577879,3000,4689
Rwanda - Cyabagomba - 1007489,Nyamagabe,Cyabagomba,1007489,Identified,Technical,006f100000a86FRAAY,2018,-2.296023,29.557358,403,3387
Rwanda - Gasharu - 1007490,Nyamagabe,Gasharu,1007490,Identified,,006f100000a86FSAAY,2018,-2.43993333,29.51594167,3000,4375
Rwanda - Muduha - 1007491,Nyamagabe,Muduha,1007491,Identified,Technical,006f100000a86FTAAY,2018,-2.436162,29.52308,4530,4128
Rwanda - Rugwa - 1007525,Nyanza,Rugwa,1007525,Complete,In Service,006f100000a86G1AAI,2019,-2.329779,29.668688,2015,4171
Rwanda - Kabuga - 1007384,Kamonyi,Kabuga,1007384,Identified,Technical,006f100000a86DkAAI,2019,-1.972033,29.84578,1195,5020
Rwanda - Rusovu - 1007387,Karongi,Rusovu,1007387,Identified,Identified in Needs Assessment,006f100000a86DnAAI,2019,-2.14783,29.535028,10405,5931
Rwanda - Nyirahene - 1007388,Karongi,Nyirahene,1007388,Identified,Technical,006f100000a86DoAAI,2019,-2.14375,29.5181389,6000,6529
Rwanda - Nyakabingo - 1007492,Nyamagabe,Nyakabingo,1007492,Identified,Technical,006f100000a86FUAAY,2018,-2.298329,29.459225,1000,4140
Rwanda - Nyagisumo - 1007493,Nyamagabe,Nyagisumo,1007493,Identified,Technical,006f100000a86FVAAY,2018,-2.337289,29.459825,2244,5214
Rwanda - Nyakabuye - Nkomane - 1007495,Nyamagabe,Nyakabuye - Nkomane,1007495,Complete,In Service,006f100000a86FXAAY,2021,-2.233022,29.57513,2790,3624
Rwanda - Nyamurinda - 1007496,Nyamagabe,Nyamurinda,1007496,Identified,Technical,006f100000a86FYAAY,2018,-2.43885,29.56909,1050,5425
Rwanda - Murehe - 1007497,Nyamagabe,Murehe,1007497,Ready to Confirm,,006f100000a86FZAAY,2023,-2.265518,29.585978,2383,4208
Rwanda - Gasagara - 1007498,Nyamagabe,Gasagara,1007498,Identified,Vehicular Bridge Required,006f100000a86FaAAI,2018,-2.286972,29.607523,500,4387
Rwanda - Kibiraro - 1007499,Nyamagabe,Kibiraro,1007499,Complete,In Service,006f100000a86FbAAI,2022,-2.294167,29.555224,2492,3350
Rwanda - Macigati - 1007527,Nyanza,Macigati,1007527,Identified,Technical,006f100000a86G3AAI,2018,-2.30422,29.65685,456,4440
Rwanda - Cyarera - 1007528,Nyanza,Cyarera,1007528,Complete,In Service,006f100000a86G4AAI,2023,-2.29248,29.61608,1967,4472
Rwanda - Gatare - 1007530,Nyarugenge,Gatare,1007530,Complete,In Service,006f100000a86G6AAI,2019,-1.94142,30.034608,2704,59847
Rwanda - Kumagare - 1007531,Gasabo,Kumagare,1007531,Identified,Technical,006f100000a86G7AAI,2019,-1.935831,30.051385,48588,138047
Rwanda - Uwinteko - 1007532,Nyaruguru,Uwinteko,1007532,Identified,Technical,006f100000a86G8AAI,2019,-2.761531,29.494368,4221,4532
Rwanda - Cyivugiza - 1007534,Nyaruguru,Cyivugiza,1007534,Identified,Technical,006f100000a86GAAAY,2019,-2.7791667,29.464333,3000,5036
Rwanda - Rukarakara - 1007535,Nyaruguru,Rukarakara,1007535,Complete,In Service,006f100000a86GBAAY,2019,-2.7761,29.464528,11283,5470
Rwanda - Bihembe - 1007536,Nyaruguru,Bihembe,1007536,Identified,Technical,006f100000a86GCAAY,2019,-2.69544,29.45618,6394,5225
Rwanda - Nyacyondo - 1007537,Nyaruguru,Nyacyondo,1007537,Identified,Local Investment,006f100000a86GDAAY,2019,-2.62023,29.542442,4109,2403
Rwanda - Nyabimata - 1007538,Nyaruguru,Nyabimata,1007538,Identified,Identified in Needs Assessment,006f100000a86GEAAY,2019,-2.69445,29.45532,6365,5405
Rwanda - Kabere - 1007539,Nyaruguru,Kabere,1007539,Complete,In Service,006f100000a86GFAAY,2019,-2.697944,29.446917,6335,5411
Rwanda - Gihango - 1007540,Nyaruguru,Gihango,1007540,Identified,Technical,006f100000a86GGAAY,2019,-2.67791,29.59175,4446,4019
Rwanda - Cyuna - 1007541,Nyaruguru,Cyuna,1007541,Identified,Technical,006f100000a86GHAAY,2019,-2.706995,29.59134667,5829,5346
Rwanda - Gakaranka - 1007542,Nyaruguru,Gakaranka,1007542,Identified,Technical,006f100000a86GIAAY,2019,-2.77593,29.4562,4842,5023
Rwanda - Kirwa - 1007543,Nyaruguru,Kirwa,1007543,Identified,Technical,006f100000a86GJAAY,2019,-2.798933,29.4761,4563,3482
Rwanda - Runyani - 1007544,Nyaruguru,Runyani,1007544,Complete,In Service,006f100000a86GKAAY,2020,-2.71578,29.67607,5421,4164
Rwanda - Samiyonge - 1007545,Nyaruguru,Samiyonge,1007545,Identified,Technical,006f100000a86GLAAY,2019,-2.67962,29.46244,6119,7065
Rwanda - Rugogo - 1007389,Karongi,Rugogo,1007389,Identified,Technical,006f100000a86DpAAI,2019,-2.207465,29.4401,6195,3495
Rwanda - Kurusumo - 1007390,Karongi,Kurusumo,1007390,Identified,Technical,006f100000a86DqAAI,2014,-2.16372,29.35439,13740,4833
Rwanda - Urwishinzo - 1007546,Nyaruguru,Urwishinzo,1007546,Identified,Vehicular Bridge Required,006f100000a86GMAAY,2019,-2.7803056,29.4508056,500,4350
Rwanda - Karanka - 1007547,Nyaruguru,Karanka,1007547,Identified,Technical,006f100000a86GNAAY,2019,-2.66297667,29.44955667,3443,7835
Rwanda - Migendo - 1007548,Nyaruguru,Migendo,1007548,Identified,Identified in Needs Assessment,006f100000a86GOAAY,2019,-2.667,29.4581,3711,7263
Rwanda - Kanyarusanga 1 - 1007391,Karongi,Kanyarusanga 1,1007391,Confirmed,,006f100000a86DrAAI,2023,-2.154294,29.3575,5748,9476
Rwanda - Kinjongo - 1007392,Karongi,Kinjongo,1007392,Identified,Technical,006f100000a86DsAAI,2019,-2.14811,29.52184,3000,6414
Rwanda - Gasarabwayi - 1007393,Kayonza,Gasarabwayi,1007393,Identified,Technical,006f100000a86DtAAI,2019,-1.90503,30.60191,4255,3384
Rwanda - Gahushyi - 1007394,Kayonza,Gahushyi,1007394,Identified,Technical,006f100000a86DuAAI,2019,-1.97849,30.58137,2451,3233
Rwanda - Akayebe - 1007395,Kayonza,Akayebe,1007395,Identified,Technical,006f100000a86DvAAI,2019,-1.92998,30.60766,1907,3648
Rwanda - Mutembo - 1007396,Kayonza,Mutembo,1007396,Identified,Technical,006f100000a86DwAAI,2019,-1.96784,30.58284,1799,3041
Rwanda - Kabakungu - 1007397,Muhanga,Kabakungu,1007397,Identified,Technical,006f100000a86DxAAI,2018,-1.8106111,29.7573333,4609,5288
Rwanda - Rutongo - 1007398,Muhanga,Rutongo,1007398,Identified,Technical,006f100000a86DyAAI,2018,-1.9643,29.76213,2010,4489
Rwanda - Kurugomero - 1007399,Muhanga,Kurugomero,1007399,Identified,Technical,006f100000a86DzAAI,2018,-1.81295875,29.77787873,4427,5053
Rwanda - Karama - 1007400,Muhanga,Karama,1007400,Complete,In Service,006f100000a86E0AAI,2021,-2.07322294,29.71500053,1820,5844
Rwanda - Mataba - 1007401,Muhanga,Mataba,1007401,Identified,,006f100000a86E1AAI,2014,-1.9014444,29.7639167,1000,4867
Rwanda - Matsinsi - 1007402,Muhanga,Matsinsi,1007402,Identified,Technical,006f100000a86E2AAI,2018,-2.14494,29.77813,3000,7557
Rwanda - Kumukenke - 1007403,Muhanga,Kumukenke,1007403,Identified,Technical,006f100000a86E3AAI,2019,-2.076671,29.716686,500,5902
Rwanda - Kabuga - 1007404,Gakenke,Kabuga,1007404,Identified,,006f100000a86E4AAI,2018,-1.750277,29.745,1950,4464
Rwanda - Bitare - 1007549,Nyaruguru,Bitare,1007549,Identified,Technical,006f100000a86GPAAY,2019,-2.68734,29.65577,500,4566
Rwanda - Sheke - 1007550,Nyaruguru,Sheke,1007550,Identified,Technical,006f100000a86GQAAY,2019,-2.67224,29.65063,4755,4896
Rwanda - Remera - 1007551,Nyaruguru,Remera,1007551,Identified,Technical,006f100000a86GRAAY,2019,-2.70332833,29.58839667,4398,5412
Rwanda - Coko - 1007552,Nyaruguru,Coko,1007552,Identified,Technical,006f100000a86GSAAY,2019,-2.713945,29.594535,4586,0
Rwanda - Gitara - 1007553,Nyaruguru,Gitara,1007553,Identified,Technical,006f100000a86GTAAY,2019,-2.71768,29.59726333,5406,5021
Rwanda - Gitara - 1007554,Nyaruguru,Gitara,1007554,Identified,Technical,006f100000a86GUAAY,2019,-2.721561,29.596655,5406,4882
Rwanda - Rwishwa - 1007555,Nyaruguru,Rwishwa,1007555,Identified,Technical,006f100000a86GVAAY,2019,-2.651346,29.43843,2757,5597
Rwanda - Munanira - 1007556,Nyaruguru,Munanira,1007556,Prospecting,,006f100000a86GWAAY,2023,-2.735612,29.566853,1137,3672
Rwanda - Murambi - 1007557,Nyaruguru,Murambi,1007557,Identified,Identified in Needs Assessment,006f100000a86GXAAY,2019,-2.68572,29.47124,4382,5401
Rwanda - Uwamuhizi - 1007558,Nyaruguru,Uwamuhizi,1007558,Identified,Local Investment,006f100000a86GYAAY,2019,-2.71525,29.5959167,500,5137
Rwanda - Ngarurira - 1007559,Nyaruguru,Ngarurira,1007559,Identified,Technical,006f100000a86GZAAY,2019,-2.6965833,29.5401111,4515,3093
Rwanda - Uwumusebeya - 1007560,Nyaruguru,Uwumusebeya,1007560,Identified,Technical,006f100000a86GaAAI,2019,-2.7785278,29.44775,1000,4202
Rwanda - Mutovu - 1007561,Nyaruguru,Mutovu,1007561,Identified,Technical,006f100000a86GbAAI,2019,-2.6860833,29.4780833,3000,4499
Rwanda - Nyagisenyi - 1007562,Nyaruguru,Nyagisenyi,1007562,Identified,Identified in Needs Assessment,006f100000a86GcAAI,2019,-2.654561,29.439786,2757,6021
Rwanda - Agatare - 1007563,Nyaruguru,Agatare,1007563,Complete,In Service,006f100000a86GdAAI,2020,-2.69808,29.54557,4515,3523
Rwanda - Businde - 1007564,Nyaruguru,Businde,1007564,Identified,Vehicular Bridge Required,006f100000a86GeAAI,2019,-2.6974722,29.4909444,1000,4139
Rwanda - Agasaka - 1007565,Nyaruguru,Agasaka,1007565,Identified,Technical,006f100000a86GfAAI,2019,-2.77066667,29.66886,3000,5875
Rwanda - Mutobwe - 1007566,Nyaruguru,Mutobwe,1007566,Identified,Technical,006f100000a86GgAAI,2019,-2.69631,29.43436,2187,5230
Rwanda - Kasemanyana - 1007500,Nyamagabe,Kasemanyana,1007500,Identified,Technical,006f100000a86FcAAI,2018,-2.312785,29.559739,2628,2927
Rwanda - Rusave - 1007502,Nyamagabe,Rusave,1007502,Identified,Technical,006f100000a86FeAAI,2018,-2.321754,29.44854,1000,5180
Rwanda - Rwumba - 1007503,Nyamagabe,Rwumba,1007503,Identified,Vehicular Bridge Required,006f100000a86FfAAI,2019,-2.32834,29.44182,500,6076
Rwanda - Gitega - 1007505,Nyamagabe,Gitega,1007505,Identified,Technical,006f100000a86FhAAI,2018,-2.280226,29.603769,1000,4462
Rwanda - Uwarukara - 1007506,Nyanza,Uwarukara,1007506,Complete,In Service,006f100000a86FiAAI,2019,-2.308722,29.604778,7000,3922
Rwanda - Nyakabuye - Mwogo - 1007507,Nyamagabe,Nyakabuye - Mwogo,1007507,Complete,In Service,006f100000a86FjAAI,2021,-2.233278,29.576407,2725,3622
Rwanda - Rugote - 1007568,Nyaruguru,Rugote,1007568,Identified,Vehicular Bridge Required,006f100000a86GiAAI,2019,-2.7800833,29.451,1000,4392
Rwanda - Mutovu - 1007569,Nyaruguru,Mutovu,1007569,Complete,Out of Service,006f100000a86GjAAI,2018,-2.682306,29.481194,6000,
Rwanda - Gasugi - 1007570,Nyaruguru,Gasugi,1007570,Prospecting,,006f100000a86GkAAI,2024,-2.69743,29.43339,5413,5064
Rwanda - Gituramigina - 1007571,Nyaruguru,Gituramigina,1007571,Identified,Technical,006f100000a86GlAAI,2019,-2.7438056,29.6708056,3870,5725
Rwanda - Gisoro - 1007572,Nyaruguru,Gisoro,1007572,Complete,In Service,006f100000a86GmAAI,2020,-2.7891,29.56721,17400,4399
Rwanda - Tugogo - 1007573,Nyaruguru,Tugogo,1007573,Identified,Technical,006f100000a86GnAAI,2019,-2.56058,29.49439,3885,5411
Rwanda - Uwurusugi - 1007574,Nyaruguru,Uwurusugi,1007574,Identified,Technical,006f100000a86GoAAI,2019,-2.70144,29.43844,3900,4823
Rwanda - Ryarugarama - 1007575,Nyaruguru,Ryarugarama,1007575,Identified,Vehicular Bridge Required,006f100000a86GpAAI,2019,-2.7814444,29.6633611,500,4523
Rwanda - Rusuzumiro - 1007577,Nyaruguru,Rusuzumiro,1007577,Identified,Technical,006f100000a86GrAAI,2019,-2.6483056,29.4811389,500,2666
Rwanda - Rimbamya - 1007578,Nyaruguru,Rimbamya,1007578,Identified,Vehicular Bridge Required,006f100000a86GsAAI,2019,-2.6378056,29.5095,500,2346
Rwanda - Bisheke - 1007508,Nyamasheke,Bisheke,1007508,Identified,Technical,006f100000a86FkAAI,2019,-2.280762,29.206295,2338,8112
Rwanda - Gitwa~Nyagacaca - 1007509,Nyamasheke,Gitwa~Nyagacaca,1007509,Identified,Technical,006f100000a86FlAAI,2019,-2.275825,29.217288,2225,9016
Rwanda - Businde - 1007579,Nyaruguru,Businde,1007579,Identified,Technical,006f100000a86GtAAI,2019,-2.636655,29.47937167,5323,3781
Rwanda - Ryakanyamiganda - 1007580,Nyaruguru,Ryakanyamiganda,1007580,Complete,In Service,006f100000a86GuAAI,2020,-2.79415,29.6986,4295,5261
Rwanda - Rubindi - 1007409,Musanze,Rubindi,1007409,Identified,,006f100000a86E9AAI,2014,-1.5931667,29.6469167,6000,8006
Rwanda - Nyagafunzo - 1007515,Nyamasheke,Nyagafunzo,1007515,Prospecting,,006f100000a86FrAAI,2023,-2.19761,29.277965,2995,7560
Rwanda - Musumba~ Rugano - 1007518,Nyamasheke,Musumba~ Rugano,1007518,Identified,Technical,006f100000a86FuAAI,2019,-2.313353,29.214397,2237,9475
Rwanda - Kubisheke - 1007520,Nyamasheke,Kubisheke,1007520,Identified,Technical,006f100000a86FwAAI,2019,-2.282545,29.208913,2118,8185
Rwanda - Karamba - 1007521,Nyamasheke,Karamba,1007521,Identified,Technical,006f100000a86FxAAI,2019,-2.284299,29.196849,3433,7347
Rwanda - Ruyenzi - 1007582,Nyaruguru,Ruyenzi,1007582,Prospecting,,006f100000a86GwAAI,2024,-2.755722,29.454917,4903,7036
Rwanda - Akatera - 1007583,Nyaruguru,Akatera,1007583,Identified,Technical,006f100000a86GxAAI,2019,-2.71667,29.73864,5328,6524
Rwanda - Mashetsa - 1007584,Nyaruguru,Mashetsa,1007584,Identified,Technical,006f100000a86GyAAI,2019,-2.614243,29.571836,4070,2098
Rwanda - Gikana - 1007327,Bugesera,Gikana,1007327,Identified,Technical,006f100000a86CpAAI,2019,-2.072628,30.204381,1610,2374
Rwanda - Karambi - 1007410,Musanze,Karambi,1007410,Identified,Vehicular Bridge Required,006f100000a86EAAAY,2014,-1.5738611,29.6502222,6000,8238
Rwanda - Kukasedurugu - 1007412,Musanze,Kukasedurugu,1007412,Confirmed,,006f100000a86ECAAY,2023,-1.536111111,29.67916667,1600,10857
Rwanda - Sovu - 1007414,Ngoma,Sovu,1007414,Identified,Technical,006f100000a86EEAAY,2019,-2.253768,30.378498,500,3914
Rwanda - Shyirinyota - 1007415,Ngoma,Shyirinyota,1007415,Identified,Technical,006f100000a86EFAAY,2019,-2.228352,30.335798,500,2718
Rwanda - Vunga - 1007416,Ngoma,Vunga,1007416,Identified,Technical,006f100000a86EGAAY,2019,-2.274806,30.43525,500,2261
Rwanda - Bare - 1007417,Ngoma,Bare,1007417,Identified,Technical,006f100000a86EHAAY,2019,-2.16867,30.26261,12348,1540
Rwanda - Kabyaza - 1007419,Ngororero,Kabyaza,1007419,Identified,Technical,006f100000a86EJAAY,2018,-1.82084,29.54068,0,7506
Rwanda - Mubarama - 1007420,Ngororero,Mubarama,1007420,Identified,Technical,006f100000a86EKAAY,2019,-1.91351,29.57821,12804,5630
Rwanda - Mweya - 1007522,Nyanza,Mweya,1007522,Identified,Technical,006f100000a86FyAAI,2024,-2.32999,29.64216,2992,3502
Rwanda - Nyankunamirwa - 1007523,Nyanza,Nyankunamirwa,1007523,Identified,Technical,006f100000a86FzAAI,2018,-2.28014,29.72578,1801,4924
Rwanda - Mwurire-gatoki - 1007670,Rutsiro,Mwurire-gatoki,1007670,Identified,Identified in Needs Assessment,006f100000a86IMAAY,2019,-1.89155,29.38262,1539,11692
Rwanda - Rutanzogera - 1007672,Rutsiro,Rutanzogera,1007672,Under Construction,,006f100000a86IOAAY,2023,-1.957,29.531833,3437,5621
Rwanda - Murunda - 1007673,Rutsiro,Murunda,1007673,Identified,Identified in Needs Assessment,006f100000a86IPAAY,2018,-1.915,29.37083,3200,8925
Rwanda - Kibara - 1007674,Rutsiro,Kibara,1007674,Identified,Technical,006f100000a86IQAAY,2019,-1.92899,29.4801,1750,5359
Rwanda - Gatomvu - 1007676,Rutsiro,Gatomvu,1007676,Identified,Requested,006f100000a86ISAAY,2018,-1.96638,29.35777,1250,4952
Rwanda - Muyira - 1007589,Nyaruguru,Muyira,1007589,Identified,Technical,006f100000a86H3AAI,2019,-2.7211111,29.4486389,1746,4807
Rwanda - Ruganza - 1007590,Nyaruguru,Ruganza,1007590,Complete,In Service,006f100000a86H4AAI,2020,-2.63522167,29.45740167,2183,4659
Rwanda - Cyumuzi - 1007591,Nyaruguru,Cyumuzi,1007591,Identified,Vehicular Bridge Required,006f100000a86H5AAI,2019,-2.69811,29.42603,1000,4445
Rwanda - Ndatemwa - 1007592,Nyaruguru,Ndatemwa,1007592,Identified,Technical,006f100000a86H6AAI,2019,-2.78607,29.53833,5061,5505
Rwanda - Kintare - 1007593,Nyaruguru,Kintare,1007593,Prospecting,,006f100000a86H7AAI,2024,-2.633202,29.454371,4382,4785
Rwanda - Cyankongi - 1007328,Kicukiro,Cyankongi,1007328,Identified,Technical,006f100000a86CqAAI,2019,-2.048451,30.191276,5800,2836
Rwanda - Mbabe - 1007329,Kicukiro,Mbabe,1007329,Identified,Technical,006f100000a86CrAAI,2019,-2.028061,30.173231,,2371
Rwanda - Rusheshe - 1007330,Kicukiro,Rusheshe,1007330,Identified,Technical,006f100000a86CsAAI,2019,-2.038712,30.186428,5800,3235
Rwanda - Nyamigende - 1007331,Bugesera,Nyamigende,1007331,Identified,,006f100000a86CtAAI,2019,-2.095311,30.245678,6000,2731
